"table_schema","table_name","constraint_name","constraint_type","key_ordinal_position","column_name","foreign_table_schema","foreign_table_name","foreign_column_name","check_clause"
"public","cpq_configuration_references","2200_139265_12_not_null","CHECK",,,,,,"json_snapshot IS NOT NULL"
"public","cpq_configuration_references","2200_139265_13_not_null","CHECK",,,,,,"is_active IS NOT NULL"
"public","cpq_configuration_references","2200_139265_14_not_null","CHECK",,,,,,"created_at IS NOT NULL"
"public","cpq_configuration_references","2200_139265_15_not_null","CHECK",,,,,,"updated_at IS NOT NULL"
"public","cpq_configuration_references","2200_139265_1_not_null","CHECK",,,,,,"id IS NOT NULL"
"public","cpq_configuration_references","2200_139265_2_not_null","CHECK",,,,,,"configuration_reference IS NOT NULL"
"public","cpq_configuration_references","2200_139265_30_not_null","CHECK",,,,,,"finalize_response_json IS NOT NULL"
"public","cpq_configuration_references","2200_139265_3_not_null","CHECK",,,,,,"canonical_header_id IS NOT NULL"
"public","cpq_configuration_references","2200_139265_4_not_null","CHECK",,,,,,"canonical_detail_id IS NOT NULL"
"public","cpq_configuration_references","2200_139265_5_not_null","CHECK",,,,,,"ruleset IS NOT NULL"
"public","cpq_configuration_references","2200_139265_6_not_null","CHECK",,,,,,"namespace IS NOT NULL"
"public","cpq_configuration_references","cpq_configuration_references_pkey","PRIMARY KEY",1,"id","public","cpq_configuration_references","id",
"public","cpq_configuration_references","cpq_configuration_references_configuration_reference_key","UNIQUE",1,"configuration_reference","public","cpq_configuration_references","configuration_reference",
"public","cpq_image_management","2200_16559_10_not_null","CHECK",,,,,,"created_at IS NOT NULL"
"public","cpq_image_management","2200_16559_11_not_null","CHECK",,,,,,"updated_at IS NOT NULL"
"public","cpq_image_management","2200_16559_12_not_null","CHECK",,,,,,"ignore_during_configure IS NOT NULL"
"public","cpq_image_management","2200_16559_1_not_null","CHECK",,,,,,"id IS NOT NULL"
"public","cpq_image_management","2200_16559_2_not_null","CHECK",,,,,,"feature_label IS NOT NULL"
"public","cpq_image_management","2200_16559_3_not_null","CHECK",,,,,,"option_label IS NOT NULL"
"public","cpq_image_management","2200_16559_4_not_null","CHECK",,,,,,"option_value IS NOT NULL"
"public","cpq_image_management","2200_16559_9_not_null","CHECK",,,,,,"is_active IS NOT NULL"
"public","cpq_image_management","cpq_image_management_pkey","PRIMARY KEY",1,"id","public","cpq_image_management","id",
"public","cpq_image_management","cpq_image_management_feature_label_option_label_option_valu_key","UNIQUE",1,"feature_label","public","cpq_image_management","option_label",
"public","cpq_image_management","cpq_image_management_feature_label_option_label_option_valu_key","UNIQUE",1,"feature_label","public","cpq_image_management","feature_label",
"public","cpq_image_management","cpq_image_management_feature_label_option_label_option_valu_key","UNIQUE",1,"feature_label","public","cpq_image_management","option_value",
"public","cpq_image_management","cpq_image_management_feature_label_option_label_option_valu_key","UNIQUE",2,"option_label","public","cpq_image_management","option_label",
"public","cpq_image_management","cpq_image_management_feature_label_option_label_option_valu_key","UNIQUE",2,"option_label","public","cpq_image_management","feature_label",
"public","cpq_image_management","cpq_image_management_feature_label_option_label_option_valu_key","UNIQUE",2,"option_label","public","cpq_image_management","option_value",
"public","cpq_image_management","cpq_image_management_feature_label_option_label_option_valu_key","UNIQUE",3,"option_value","public","cpq_image_management","option_label",
"public","cpq_image_management","cpq_image_management_feature_label_option_label_option_valu_key","UNIQUE",3,"option_value","public","cpq_image_management","feature_label",
