"table_schema","table_name","constraint_name","constraint_type","constraint_definition","constraint_columns","foreign_table_schema","foreign_table_name","foreign_columns"
"public","bc_item_variant_map","bc_item_variant_map_channel_status_check","CHECK","CHECK ((bc_channel_status = ANY (ARRAY['OK'::text, 'NOK'::text, 'ERR'::text, 'DISABLED'::text, 'UNKNOWN'::text])))","{bc_channel_status}",,,"{}"
"public","bc_item_variant_map","bc_item_variant_map_item_type_check","CHECK","CHECK ((item_type = ANY (ARRAY['BIKE'::text, 'QPART'::text, 'PNA'::text, 'UNKNOWN'::text])))","{item_type}",,,"{}"
"public","bc_item_variant_map","bc_item_variant_map_status_check","CHECK","CHECK ((bc_status = ANY (ARRAY['OK'::text, 'NOK'::text, 'ERR'::text, 'DISABLED'::text, 'UNKNOWN'::text])))","{bc_status}",,,"{}"
"public","bc_item_variant_map","bc_item_variant_map_pkey","PRIMARY KEY","PRIMARY KEY (id)","{id}",,,"{}"
"public","bc_item_variant_map","bc_item_variant_map_sku_code_key","UNIQUE","UNIQUE (sku_code)","{sku_code}",,,"{}"
"public","cpq_configuration_references","cpq_configuration_references_pkey","PRIMARY KEY","PRIMARY KEY (id)","{id}",,,"{}"
"public","cpq_configuration_references","cpq_configuration_references_configuration_reference_key","UNIQUE","UNIQUE (configuration_reference)","{configuration_reference}",,,"{}"
"public","cpq_country_mappings","cpq_country_mappings_country_code_chk","CHECK","CHECK ((country_code ~ '^[A-Z]{2}$'::text))","{country_code}",,,"{}"
"public","cpq_country_mappings","cpq_country_mappings_pkey","PRIMARY KEY","PRIMARY KEY (id)","{id}",,,"{}"
"public","cpq_country_mappings","cpq_country_mappings_uniq","UNIQUE","UNIQUE (region, sub_region, country_code)","{region,sub_region,country_code}",,,"{}"
"public","cpq_image_management","cpq_image_management_feature_layer_order_chk","CHECK","CHECK (((feature_layer_order >= 1) AND (feature_layer_order <= 20)))","{feature_layer_order}",,,"{}"
"public","cpq_image_management","cpq_image_management_pkey","PRIMARY KEY","PRIMARY KEY (id)","{id}",,,"{}"
"public","cpq_image_management","cpq_image_management_feature_label_option_label_option_valu_key","UNIQUE","UNIQUE (feature_label, option_label, option_value)","{feature_label,option_label,option_value}",,,"{}"
"public","cpq_sampler_result","cpq_sampler_result_pkey","PRIMARY KEY","PRIMARY KEY (id)","{id}",,,"{}"
"public","cpq_setup_account_context","cpq_setup_account_context_country_code_chk","CHECK","CHECK ((country_code ~ '^[A-Z]{2}$'::text))","{country_code}",,,"{}"
"public","cpq_setup_account_context","cpq_setup_account_context_region_sub_region_country_fk","FOREIGN KEY","FOREIGN KEY (region, sub_region, country_code) REFERENCES cpq_country_mappings(region, sub_region, country_code)","{region,sub_region,country_code}","public","cpq_country_mappings","{region,sub_region,country_code}"
"public","cpq_setup_account_context","cpq_setup_account_context_pkey","PRIMARY KEY","PRIMARY KEY (id)","{id}",,,"{}"
"public","cpq_setup_account_context","cpq_setup_account_context_account_code_key","UNIQUE","UNIQUE (account_code)","{account_code}",,,"{}"
"public","cpq_setup_ruleset","cpq_setup_ruleset_pkey","PRIMARY KEY","PRIMARY KEY (id)","{id}",,,"{}"
"public","cpq_setup_ruleset","cpq_setup_ruleset_cpq_ruleset_key","UNIQUE","UNIQUE (cpq_ruleset)","{cpq_ruleset}",,,"{}"
"public","qpart_compatibility_reference_values","qpart_compatibility_reference_values_pkey","PRIMARY KEY","PRIMARY KEY (id)","{id}",,,"{}"
"public","qpart_compatibility_reference_values","qpart_compatibility_reference_bike_type_feature_label_optio_key","UNIQUE","UNIQUE (bike_type, feature_label, option_value)","{bike_type,feature_label,option_value}",,,"{}"
"public","qpart_country_allocation","qpart_country_allocation_country_code_chk","CHECK","CHECK ((country_code ~ '^[A-Z]{2}$'::text))","{country_code}",,,"{}"
"public","qpart_country_allocation","qpart_country_allocation_part_id_fkey","FOREIGN KEY","FOREIGN KEY (part_id) REFERENCES qpart_parts(id) ON DELETE CASCADE","{part_id}","public","qpart_parts","{id}"
"public","qpart_country_allocation","qpart_country_allocation_pkey","PRIMARY KEY","PRIMARY KEY (id)","{id}",,,"{}"
"public","qpart_country_allocation","qpart_country_allocation_part_country_uniq","UNIQUE","UNIQUE (part_id, country_code)","{part_id,country_code}",,,"{}"
"public","qpart_hierarchy_nodes","qpart_hierarchy_nodes_level_check","CHECK","CHECK (((level >= 1) AND (level <= 7)))","{level}",,,"{}"
"public","qpart_hierarchy_nodes","qpart_hierarchy_nodes_parent_id_fkey","FOREIGN KEY","FOREIGN KEY (parent_id) REFERENCES qpart_hierarchy_nodes(id) ON DELETE RESTRICT","{parent_id}","public","qpart_hierarchy_nodes","{id}"
"public","qpart_hierarchy_nodes","qpart_hierarchy_nodes_pkey","PRIMARY KEY","PRIMARY KEY (id)","{id}",,,"{}"
"public","qpart_metadata_definitions","qpart_metadata_definitions_field_type_check","CHECK","CHECK ((field_type = ANY (ARRAY['text'::text, 'long_text'::text, 'number'::text, 'boolean'::text, 'date'::text, 'single_select'::text, 'multi_select'::text])))","{field_type}",,,"{}"
"public","qpart_metadata_definitions","qpart_metadata_definitions_pkey","PRIMARY KEY","PRIMARY KEY (id)","{id}",,,"{}"
"public","qpart_metadata_definitions","qpart_metadata_definitions_key_key","UNIQUE","UNIQUE (key)","{key}",,,"{}"
"public","qpart_part_bike_type_compatibility","qpart_part_bike_type_compatibility_part_id_fkey","FOREIGN KEY","FOREIGN KEY (part_id) REFERENCES qpart_parts(id) ON DELETE CASCADE","{part_id}","public","qpart_parts","{id}"
"public","qpart_part_bike_type_compatibility","qpart_part_bike_type_compatibility_pkey","PRIMARY KEY","PRIMARY KEY (id)","{id}",,,"{}"
"public","qpart_part_bike_type_compatibility","qpart_part_bike_type_compatibility_part_id_bike_type_key","UNIQUE","UNIQUE (part_id, bike_type)","{part_id,bike_type}",,,"{}"
"public","qpart_part_channel_assignment","qpart_part_channel_assignment_channel_chk","CHECK","CHECK ((channel = ANY (ARRAY['Ecom'::text, 'Dealer'::text, 'Junction'::text, 'Subscription'::text])))","{channel}",,,"{}"
"public","qpart_part_channel_assignment","qpart_part_channel_assignment_part_id_fkey","FOREIGN KEY","FOREIGN KEY (part_id) REFERENCES qpart_parts(id) ON DELETE CASCADE","{part_id}","public","qpart_parts","{id}"
"public","qpart_part_channel_assignment","qpart_part_channel_assignment_pkey","PRIMARY KEY","PRIMARY KEY (id)","{id}",,,"{}"
"public","qpart_part_channel_assignment","qpart_part_channel_assignment_part_channel_uniq","UNIQUE","UNIQUE (part_id, channel)","{part_id,channel}",,,"{}"
"public","qpart_part_compatibility_rules","qpart_part_compatibility_rules_source_check","CHECK","CHECK ((source = ANY (ARRAY['derived'::text, 'reference'::text, 'manual'::text])))","{source}",,,"{}"
"public","qpart_part_compatibility_rules","qpart_part_compatibility_rules_part_id_fkey","FOREIGN KEY","FOREIGN KEY (part_id) REFERENCES qpart_parts(id) ON DELETE CASCADE","{part_id}","public","qpart_parts","{id}"
"public","qpart_part_compatibility_rules","qpart_part_compatibility_rules_pkey","PRIMARY KEY","PRIMARY KEY (id)","{id}",,,"{}"
"public","qpart_part_compatibility_rules","qpart_part_compatibility_rule_part_id_bike_type_feature_lab_key","UNIQUE","UNIQUE (part_id, bike_type, feature_label, option_value)","{part_id,bike_type,feature_label,option_value}",,,"{}"
"public","qpart_part_metadata_values","qpart_part_metadata_values_metadata_definition_id_fkey","FOREIGN KEY","FOREIGN KEY (metadata_definition_id) REFERENCES qpart_metadata_definitions(id) ON DELETE CASCADE","{metadata_definition_id}","public","qpart_metadata_definitions","{id}"
"public","qpart_part_metadata_values","qpart_part_metadata_values_part_id_fkey","FOREIGN KEY","FOREIGN KEY (part_id) REFERENCES qpart_parts(id) ON DELETE CASCADE","{part_id}","public","qpart_parts","{id}"
"public","qpart_part_metadata_values","qpart_part_metadata_values_pkey","PRIMARY KEY","PRIMARY KEY (id)","{id}",,,"{}"
"public","qpart_part_metadata_values","qpart_part_metadata_values_part_id_metadata_definition_id_l_key","UNIQUE","UNIQUE (part_id, metadata_definition_id, locale)","{part_id,metadata_definition_id,locale}",,,"{}"
"public","qpart_part_translations","qpart_part_translations_part_id_fkey","FOREIGN KEY","FOREIGN KEY (part_id) REFERENCES qpart_parts(id) ON DELETE CASCADE","{part_id}","public","qpart_parts","{id}"
"public","qpart_part_translations","qpart_part_translations_pkey","PRIMARY KEY","PRIMARY KEY (id)","{id}",,,"{}"
"public","qpart_part_translations","qpart_part_translations_part_id_locale_key","UNIQUE","UNIQUE (part_id, locale)","{part_id,locale}",,,"{}"
"public","qpart_parts","qpart_parts_status_check","CHECK","CHECK ((status = ANY (ARRAY['active'::text, 'inactive'::text, 'draft'::text])))","{status}",,,"{}"
"public","qpart_parts","qpart_parts_hierarchy_node_id_fkey","FOREIGN KEY","FOREIGN KEY (hierarchy_node_id) REFERENCES qpart_hierarchy_nodes(id)","{hierarchy_node_id}","public","qpart_hierarchy_nodes","{id}"
"public","qpart_parts","qpart_parts_pkey","PRIMARY KEY","PRIMARY KEY (id)","{id}",,,"{}"
"public","qpart_parts","qpart_parts_part_number_key","UNIQUE","UNIQUE (part_number)","{part_number}",,,"{}"
