"table_schema","table_name","index_name","is_primary","is_unique","is_valid","is_ready","index_type","index_definition","index_size_pretty","index_size_bytes"
"public","bc_item_variant_map","bc_item_variant_map_pkey","t","t","t","t","btree","CREATE UNIQUE INDEX bc_item_variant_map_pkey ON public.bc_item_variant_map USING btree (id)","16 kB",16384
"public","bc_item_variant_map","bc_item_variant_map_sku_code_key","f","t","t","t","btree","CREATE UNIQUE INDEX bc_item_variant_map_sku_code_key ON public.bc_item_variant_map USING btree (sku_code)","16 kB",16384
"public","bc_item_variant_map","idx_bc_item_variant_map_bc_product_id","f","f","t","t","btree","CREATE INDEX idx_bc_item_variant_map_bc_product_id ON public.bc_item_variant_map USING btree (bc_product_id)","16 kB",16384
"public","bc_item_variant_map","idx_bc_item_variant_map_bc_variant_id","f","f","t","t","btree","CREATE INDEX idx_bc_item_variant_map_bc_variant_id ON public.bc_item_variant_map USING btree (bc_variant_id)","16 kB",16384
"public","bc_item_variant_map","idx_bc_item_variant_map_channels_json","f","f","t","t","gin","CREATE INDEX idx_bc_item_variant_map_channels_json ON public.bc_item_variant_map USING gin (bc_channels_json)","24 kB",24576
"public","bc_item_variant_map","idx_bc_item_variant_map_last_checked","f","f","t","t","btree","CREATE INDEX idx_bc_item_variant_map_last_checked ON public.bc_item_variant_map USING btree (bc_last_checked_at)","16 kB",16384
"public","bc_item_variant_map","idx_bc_item_variant_map_sku_code","f","f","t","t","btree","CREATE INDEX idx_bc_item_variant_map_sku_code ON public.bc_item_variant_map USING btree (sku_code)","16 kB",16384
"public","bc_item_variant_map","idx_bc_item_variant_map_status","f","f","t","t","btree","CREATE INDEX idx_bc_item_variant_map_status ON public.bc_item_variant_map USING btree (bc_status)","16 kB",16384
"public","cpq_configuration_references","cpq_configuration_references_pkey","t","t","t","t","btree","CREATE UNIQUE INDEX cpq_configuration_references_pkey ON public.cpq_configuration_references USING btree (id)","16 kB",16384
"public","cpq_configuration_references","cpq_configuration_references_configuration_reference_key","f","t","t","t","btree","CREATE UNIQUE INDEX cpq_configuration_references_configuration_reference_key ON public.cpq_configuration_references USING btree (configuration_reference)","16 kB",16384
