"table_schema","table_name","ordinal_position","column_name","data_type","udt_name","character_maximum_length","numeric_precision","numeric_scale","datetime_precision","is_nullable","column_default","insert_requirement","column_comment"
"public","app_allocation_audit_log",1,"id","bigint","int8",,64,0,,"NO","nextval('app_allocation_audit_log_id_seq'::regclass)","AUTO_OR_DEFAULT_IF_OMITTED",
"public","app_allocation_audit_log",2,"created_at","timestamp with time zone","timestamptz",,,,6,"NO","now()","AUTO_OR_DEFAULT_IF_OMITTED",
"public","app_allocation_audit_log",3,"actor_user_id","text","text",,,,,"YES",,"OPTIONAL",
"public","app_allocation_audit_log",4,"actor_email","text","text",,,,,"YES",,"OPTIONAL",
"public","app_allocation_audit_log",5,"actor_display_name","text","text",,,,,"YES",,"OPTIONAL",
"public","app_allocation_audit_log",6,"page_key","text","text",,,,,"NO",,"REQUIRED_ON_INSERT",
"public","app_allocation_audit_log",7,"source_process","text","text",,,,,"NO",,"REQUIRED_ON_INSERT",
"public","app_allocation_audit_log",8,"entity_type","text","text",,,,,"NO",,"REQUIRED_ON_INSERT",
"public","app_allocation_audit_log",9,"item_code","text","text",,,,,"NO",,"REQUIRED_ON_INSERT",
"public","app_allocation_audit_log",10,"country_code","text","text",,,,,"YES",,"OPTIONAL",
"public","app_allocation_audit_log",11,"action_type","text","text",,,,,"NO",,"REQUIRED_ON_INSERT",
"public","app_allocation_audit_log",12,"status_before","boolean","bool",,,,,"YES",,"OPTIONAL",
"public","app_allocation_audit_log",13,"status_after","boolean","bool",,,,,"YES",,"OPTIONAL",
"public","app_allocation_audit_log",14,"metadata","jsonb","jsonb",,,,,"NO","'{}'::jsonb","AUTO_OR_DEFAULT_IF_OMITTED",
"public","app_allocation_audit_log",15,"bigcommerce_status","text","text",,,,,"YES",,"OPTIONAL",
"public","app_permission_pages",1,"id","uuid","uuid",,,,,"NO","gen_random_uuid()","AUTO_OR_DEFAULT_IF_OMITTED",
"public","app_permission_pages",2,"page_key","text","text",,,,,"NO",,"REQUIRED_ON_INSERT",
"public","app_permission_pages",3,"page_label","text","text",,,,,"NO",,"REQUIRED_ON_INSERT",
"public","app_permission_pages",4,"route_path","text","text",,,,,"NO",,"REQUIRED_ON_INSERT",
"public","app_permission_pages",5,"nav_group","text","text",,,,,"YES",,"OPTIONAL",
"public","app_permission_pages",6,"display_order","integer","int4",,32,0,,"NO","0","AUTO_OR_DEFAULT_IF_OMITTED",
"public","app_permission_pages",7,"is_active","boolean","bool",,,,,"NO","true","AUTO_OR_DEFAULT_IF_OMITTED",
"public","app_permission_pages",8,"created_at","timestamp with time zone","timestamptz",,,,6,"NO","now()","AUTO_OR_DEFAULT_IF_OMITTED",
"public","app_permission_pages",9,"updated_at","timestamp with time zone","timestamptz",,,,6,"NO","now()","AUTO_OR_DEFAULT_IF_OMITTED",
"public","app_sessions",1,"id","uuid","uuid",,,,,"NO","gen_random_uuid()","AUTO_OR_DEFAULT_IF_OMITTED",
"public","app_sessions",2,"user_id","uuid","uuid",,,,,"NO",,"REQUIRED_ON_INSERT",
"public","app_sessions",3,"session_token_hash","text","text",,,,,"NO",,"REQUIRED_ON_INSERT",
"public","app_sessions",4,"expires_at","timestamp with time zone","timestamptz",,,,6,"NO",,"REQUIRED_ON_INSERT",
"public","app_sessions",5,"created_at","timestamp with time zone","timestamptz",,,,6,"NO","now()","AUTO_OR_DEFAULT_IF_OMITTED",
"public","app_sessions",6,"last_seen_at","timestamp with time zone","timestamptz",,,,6,"YES",,"OPTIONAL",
"public","app_user_page_permissions",1,"id","uuid","uuid",,,,,"NO","gen_random_uuid()","AUTO_OR_DEFAULT_IF_OMITTED",
"public","app_user_page_permissions",2,"user_id","uuid","uuid",,,,,"NO",,"REQUIRED_ON_INSERT",
"public","app_user_page_permissions",3,"page_key","text","text",,,,,"NO",,"REQUIRED_ON_INSERT",
"public","app_user_page_permissions",4,"permission_level","text","text",,,,,"NO",,"REQUIRED_ON_INSERT",
"public","app_user_page_permissions",5,"created_at","timestamp with time zone","timestamptz",,,,6,"NO","now()","AUTO_OR_DEFAULT_IF_OMITTED",
"public","app_user_page_permissions",6,"updated_at","timestamp with time zone","timestamptz",,,,6,"NO","now()","AUTO_OR_DEFAULT_IF_OMITTED",
"public","app_users",1,"id","uuid","uuid",,,,,"NO","gen_random_uuid()","AUTO_OR_DEFAULT_IF_OMITTED",
"public","app_users",2,"email","text","text",,,,,"NO",,"REQUIRED_ON_INSERT",
"public","app_users",3,"display_name","text","text",,,,,"NO",,"REQUIRED_ON_INSERT",
"public","app_users",4,"password_hash","text","text",,,,,"NO",,"REQUIRED_ON_INSERT",
"public","app_users",5,"is_active","boolean","bool",,,,,"NO","true","AUTO_OR_DEFAULT_IF_OMITTED",
"public","app_users",6,"is_system_admin","boolean","bool",,,,,"NO","false","AUTO_OR_DEFAULT_IF_OMITTED",
"public","app_users",7,"last_login_at","timestamp with time zone","timestamptz",,,,6,"YES",,"OPTIONAL",
"public","app_users",8,"created_at","timestamp with time zone","timestamptz",,,,6,"NO","now()","AUTO_OR_DEFAULT_IF_OMITTED",
"public","app_users",9,"updated_at","timestamp with time zone","timestamptz",,,,6,"NO","now()","AUTO_OR_DEFAULT_IF_OMITTED",
"public","bc_item_variant_map",1,"id","bigint","int8",,64,0,,"NO","nextval('bc_item_variant_map_id_seq'::regclass)","AUTO_OR_DEFAULT_IF_OMITTED",
"public","bc_item_variant_map",2,"sku_code","text","text",,,,,"NO",,"REQUIRED_ON_INSERT",
"public","bc_item_variant_map",3,"item_type","text","text",,,,,"NO","'UNKNOWN'::text","AUTO_OR_DEFAULT_IF_OMITTED",
"public","bc_item_variant_map",4,"bc_product_id","integer","int4",,32,0,,"YES",,"OPTIONAL",
"public","bc_item_variant_map",5,"bc_variant_id","integer","int4",,32,0,,"YES",,"OPTIONAL",
"public","bc_item_variant_map",6,"bc_sku_id","integer","int4",,32,0,,"YES",,"OPTIONAL",
"public","bc_item_variant_map",7,"bc_status","text","text",,,,,"NO","'UNKNOWN'::text","AUTO_OR_DEFAULT_IF_OMITTED",
"public","bc_item_variant_map",8,"bc_product_name","text","text",,,,,"YES",,"OPTIONAL",
"public","bc_item_variant_map",9,"bc_variant_sku","text","text",,,,,"YES",,"OPTIONAL",
"public","bc_item_variant_map",10,"bc_image_url","text","text",,,,,"YES",,"OPTIONAL",
"public","bc_item_variant_map",11,"bc_calculated_price","numeric","numeric",,12,2,,"YES",,"OPTIONAL",
"public","bc_item_variant_map",12,"bc_inventory_level","integer","int4",,32,0,,"YES",,"OPTIONAL",
"public","bc_item_variant_map",13,"bc_purchasing_disabled","boolean","bool",,,,,"YES",,"OPTIONAL",
"public","bc_item_variant_map",14,"bc_is_visible","boolean","bool",,,,,"YES",,"OPTIONAL",
"public","bc_item_variant_map",15,"bc_channels_json","jsonb","jsonb",,,,,"YES",,"OPTIONAL",
"public","bc_item_variant_map",16,"bc_channel_status","text","text",,,,,"NO","'UNKNOWN'::text","AUTO_OR_DEFAULT_IF_OMITTED",
"public","bc_item_variant_map",17,"bc_channel_last_checked_at","timestamp with time zone","timestamptz",,,,6,"YES",,"OPTIONAL",
"public","bc_item_variant_map",18,"bc_channel_last_error","text","text",,,,,"YES",,"OPTIONAL",
"public","bc_item_variant_map",19,"bc_variant_json","jsonb","jsonb",,,,,"YES",,"OPTIONAL",
"public","bc_item_variant_map",20,"bc_last_checked_at","timestamp with time zone","timestamptz",,,,6,"YES",,"OPTIONAL",
"public","bc_item_variant_map",21,"bc_last_error","text","text",,,,,"YES",,"OPTIONAL",
"public","bc_item_variant_map",22,"bc_error_code","text","text",,,,,"YES",,"OPTIONAL",
"public","bc_item_variant_map",23,"source_page","text","text",,,,,"YES",,"OPTIONAL",
"public","bc_item_variant_map",24,"source_system","text","text",,,,,"NO","'tp2-cpq-app'::text","AUTO_OR_DEFAULT_IF_OMITTED",
"public","bc_item_variant_map",25,"created_at","timestamp with time zone","timestamptz",,,,6,"NO","now()","AUTO_OR_DEFAULT_IF_OMITTED",
"public","bc_item_variant_map",26,"updated_at","timestamp with time zone","timestamptz",,,,6,"NO","now()","AUTO_OR_DEFAULT_IF_OMITTED",
"public","cpq_configuration_references",1,"id","bigint","int8",,64,0,,"NO","nextval('cpq_configuration_references_id_seq'::regclass)","AUTO_OR_DEFAULT_IF_OMITTED",
"public","cpq_configuration_references",2,"configuration_reference","text","text",,,,,"NO",,"REQUIRED_ON_INSERT",
"public","cpq_configuration_references",3,"canonical_header_id","text","text",,,,,"NO","'Simulator'::text","AUTO_OR_DEFAULT_IF_OMITTED",
"public","cpq_configuration_references",4,"canonical_detail_id","text","text",,,,,"NO",,"REQUIRED_ON_INSERT",
"public","cpq_configuration_references",5,"ruleset","text","text",,,,,"NO",,"REQUIRED_ON_INSERT",
"public","cpq_configuration_references",6,"namespace","text","text",,,,,"NO",,"REQUIRED_ON_INSERT",
"public","cpq_configuration_references",7,"product_description","text","text",,,,,"YES",,"OPTIONAL",
"public","cpq_configuration_references",8,"account_code","text","text",,,,,"YES",,"OPTIONAL",
"public","cpq_configuration_references",9,"country_code","text","text",,,,,"YES",,"OPTIONAL",
"public","cpq_configuration_references",10,"source_working_detail_id","text","text",,,,,"YES",,"OPTIONAL",
"public","cpq_configuration_references",11,"source_session_id","text","text",,,,,"YES",,"OPTIONAL",
"public","cpq_configuration_references",12,"json_snapshot","jsonb","jsonb",,,,,"NO","'{}'::jsonb","AUTO_OR_DEFAULT_IF_OMITTED",
"public","cpq_configuration_references",13,"is_active","boolean","bool",,,,,"NO","true","AUTO_OR_DEFAULT_IF_OMITTED",
"public","cpq_configuration_references",14,"created_at","timestamp with time zone","timestamptz",,,,6,"NO","now()","AUTO_OR_DEFAULT_IF_OMITTED",
"public","cpq_configuration_references",15,"updated_at","timestamp with time zone","timestamptz",,,,6,"NO","now()","AUTO_OR_DEFAULT_IF_OMITTED",
"public","cpq_configuration_references",16,"header_id","text","text",,,,,"YES",,"OPTIONAL",
"public","cpq_configuration_references",17,"finalized_detail_id","text","text",,,,,"YES",,"OPTIONAL",
"public","cpq_configuration_references",18,"source_header_id","text","text",,,,,"YES",,"OPTIONAL",
"public","cpq_configuration_references",19,"source_detail_id","text","text",,,,,"YES",,"OPTIONAL",
"public","cpq_configuration_references",20,"customer_id","text","text",,,,,"YES",,"OPTIONAL",
"public","cpq_configuration_references",21,"account_type","text","text",,,,,"YES",,"OPTIONAL",
"public","cpq_configuration_references",22,"company","text","text",,,,,"YES",,"OPTIONAL",
"public","cpq_configuration_references",23,"currency","text","text",,,,,"YES",,"OPTIONAL",
"public","cpq_configuration_references",24,"language","text","text",,,,,"YES",,"OPTIONAL",
"public","cpq_configuration_references",25,"customer_location","text","text",,,,,"YES",,"OPTIONAL",
"public","cpq_configuration_references",26,"application_instance","text","text",,,,,"YES",,"OPTIONAL",
"public","cpq_configuration_references",27,"application_name","text","text",,,,,"YES",,"OPTIONAL",
"public","cpq_configuration_references",28,"finalized_session_id","text","text",,,,,"YES",,"OPTIONAL",
"public","cpq_configuration_references",29,"final_ipn_code","text","text",,,,,"YES",,"OPTIONAL",
"public","cpq_configuration_references",30,"finalize_response_json","jsonb","jsonb",,,,,"NO","'{}'::jsonb","AUTO_OR_DEFAULT_IF_OMITTED",
"public","cpq_country_mappings",1,"id","bigint","int8",,64,0,,"NO","nextval('cpq_country_mappings_id_seq'::regclass)","AUTO_OR_DEFAULT_IF_OMITTED",
"public","cpq_country_mappings",2,"region","text","text",,,,,"NO",,"REQUIRED_ON_INSERT",
"public","cpq_country_mappings",3,"sub_region","text","text",,,,,"NO",,"REQUIRED_ON_INSERT",
"public","cpq_country_mappings",4,"country_code","character","bpchar",2,,,,"NO",,"REQUIRED_ON_INSERT",
"public","cpq_country_mappings",5,"is_active","boolean","bool",,,,,"NO","true","AUTO_OR_DEFAULT_IF_OMITTED",
"public","cpq_country_mappings",6,"created_at","timestamp with time zone","timestamptz",,,,6,"NO","now()","AUTO_OR_DEFAULT_IF_OMITTED",
"public","cpq_country_mappings",7,"updated_at","timestamp with time zone","timestamptz",,,,6,"NO","now()","AUTO_OR_DEFAULT_IF_OMITTED",
"public","cpq_image_management",1,"id","bigint","int8",,64,0,,"NO","nextval('cpq_image_management_id_seq'::regclass)","AUTO_OR_DEFAULT_IF_OMITTED",
"public","cpq_image_management",2,"feature_label","text","text",,,,,"NO",,"REQUIRED_ON_INSERT",
"public","cpq_image_management",3,"option_label","text","text",,,,,"NO",,"REQUIRED_ON_INSERT",
