"table_schema","table_name","index_name","index_definition"
"public","app_allocation_audit_log","app_allocation_audit_log_bigcommerce_status_idx","CREATE INDEX app_allocation_audit_log_bigcommerce_status_idx ON public.app_allocation_audit_log USING btree (bigcommerce_status)"
"public","app_allocation_audit_log","app_allocation_audit_log_created_at_idx","CREATE INDEX app_allocation_audit_log_created_at_idx ON public.app_allocation_audit_log USING btree (created_at DESC)"
"public","app_allocation_audit_log","app_allocation_audit_log_pkey","CREATE UNIQUE INDEX app_allocation_audit_log_pkey ON public.app_allocation_audit_log USING btree (id)"
"public","app_permission_pages","app_permission_pages_page_key_key","CREATE UNIQUE INDEX app_permission_pages_page_key_key ON public.app_permission_pages USING btree (page_key)"
"public","app_permission_pages","app_permission_pages_pkey","CREATE UNIQUE INDEX app_permission_pages_pkey ON public.app_permission_pages USING btree (id)"
"public","app_sessions","app_sessions_pkey","CREATE UNIQUE INDEX app_sessions_pkey ON public.app_sessions USING btree (id)"
"public","app_sessions","app_sessions_session_token_hash_key","CREATE UNIQUE INDEX app_sessions_session_token_hash_key ON public.app_sessions USING btree (session_token_hash)"
"public","app_user_page_permissions","app_user_page_permissions_pkey","CREATE UNIQUE INDEX app_user_page_permissions_pkey ON public.app_user_page_permissions USING btree (id)"
"public","app_user_page_permissions","app_user_page_permissions_user_id_page_key_key","CREATE UNIQUE INDEX app_user_page_permissions_user_id_page_key_key ON public.app_user_page_permissions USING btree (user_id, page_key)"
"public","app_users","app_users_email_lower_key","CREATE UNIQUE INDEX app_users_email_lower_key ON public.app_users USING btree (lower(email))"
"public","app_users","app_users_pkey","CREATE UNIQUE INDEX app_users_pkey ON public.app_users USING btree (id)"
"public","bc_item_variant_map","bc_item_variant_map_pkey","CREATE UNIQUE INDEX bc_item_variant_map_pkey ON public.bc_item_variant_map USING btree (id)"
"public","bc_item_variant_map","bc_item_variant_map_sku_code_key","CREATE UNIQUE INDEX bc_item_variant_map_sku_code_key ON public.bc_item_variant_map USING btree (sku_code)"
"public","bc_item_variant_map","idx_bc_item_variant_map_bc_product_id","CREATE INDEX idx_bc_item_variant_map_bc_product_id ON public.bc_item_variant_map USING btree (bc_product_id)"
"public","bc_item_variant_map","idx_bc_item_variant_map_bc_variant_id","CREATE INDEX idx_bc_item_variant_map_bc_variant_id ON public.bc_item_variant_map USING btree (bc_variant_id)"
"public","bc_item_variant_map","idx_bc_item_variant_map_channels_json","CREATE INDEX idx_bc_item_variant_map_channels_json ON public.bc_item_variant_map USING gin (bc_channels_json)"
