"constraint_name","table_schema","table_name","column_name","foreign_table_schema","foreign_table_name","foreign_column_name","update_rule","delete_rule"
"app_sessions_user_id_fkey","public","app_sessions","user_id","public","app_users","id","NO ACTION","CASCADE"
"app_user_page_permissions_page_key_fkey","public","app_user_page_permissions","page_key","public","app_permission_pages","page_key","NO ACTION","CASCADE"
"app_user_page_permissions_user_id_fkey","public","app_user_page_permissions","user_id","public","app_users","id","NO ACTION","CASCADE"
"cpq_setup_account_context_region_sub_region_country_fk","public","cpq_setup_account_context","region","public","cpq_country_mappings","country_code","NO ACTION","NO ACTION"
"cpq_setup_account_context_region_sub_region_country_fk","public","cpq_setup_account_context","region","public","cpq_country_mappings","region","NO ACTION","NO ACTION"
"cpq_setup_account_context_region_sub_region_country_fk","public","cpq_setup_account_context","region","public","cpq_country_mappings","sub_region","NO ACTION","NO ACTION"
"cpq_setup_account_context_region_sub_region_country_fk","public","cpq_setup_account_context","sub_region","public","cpq_country_mappings","country_code","NO ACTION","NO ACTION"
"cpq_setup_account_context_region_sub_region_country_fk","public","cpq_setup_account_context","sub_region","public","cpq_country_mappings","region","NO ACTION","NO ACTION"
"cpq_setup_account_context_region_sub_region_country_fk","public","cpq_setup_account_context","sub_region","public","cpq_country_mappings","sub_region","NO ACTION","NO ACTION"
"cpq_setup_account_context_region_sub_region_country_fk","public","cpq_setup_account_context","country_code","public","cpq_country_mappings","country_code","NO ACTION","NO ACTION"
"cpq_setup_account_context_region_sub_region_country_fk","public","cpq_setup_account_context","country_code","public","cpq_country_mappings","region","NO ACTION","NO ACTION"
"cpq_setup_account_context_region_sub_region_country_fk","public","cpq_setup_account_context","country_code","public","cpq_country_mappings","sub_region","NO ACTION","NO ACTION"
"qpart_country_allocation_part_id_fkey","public","qpart_country_allocation","part_id","public","qpart_parts","id","NO ACTION","CASCADE"
"qpart_hierarchy_nodes_parent_id_fkey","public","qpart_hierarchy_nodes","parent_id","public","qpart_hierarchy_nodes","id","NO ACTION","RESTRICT"
"qpart_part_bike_type_compatibility_part_id_fkey","public","qpart_part_bike_type_compatibility","part_id","public","qpart_parts","id","NO ACTION","CASCADE"
"qpart_part_channel_assignment_part_id_fkey","public","qpart_part_channel_assignment","part_id","public","qpart_parts","id","NO ACTION","CASCADE"
"qpart_part_compatibility_rules_part_id_fkey","public","qpart_part_compatibility_rules","part_id","public","qpart_parts","id","NO ACTION","CASCADE"
"qpart_part_images_part_id_fkey","public","qpart_part_images","part_id","public","qpart_parts","id","NO ACTION","CASCADE"
"qpart_part_metadata_values_metadata_definition_id_fkey","public","qpart_part_metadata_values","metadata_definition_id","public","qpart_metadata_definitions","id","NO ACTION","CASCADE"
"qpart_part_metadata_values_part_id_fkey","public","qpart_part_metadata_values","part_id","public","qpart_parts","id","NO ACTION","CASCADE"
"qpart_part_translations_part_id_fkey","public","qpart_part_translations","part_id","public","qpart_parts","id","NO ACTION","CASCADE"
"qpart_parts_hierarchy_node_id_fkey","public","qpart_parts","hierarchy_node_id","public","qpart_hierarchy_nodes","id","NO ACTION","NO ACTION"
