"schema_name","table_name","constraint_name","constraint_definition"
"public","app_user_page_permissions","app_user_page_permissions_permission_level_check","CHECK ((permission_level = ANY (ARRAY['none'::text, 'read'::text, 'edit'::text, 'admin'::text])))"
"public","bc_item_variant_map","bc_item_variant_map_channel_status_check","CHECK ((bc_channel_status = ANY (ARRAY['OK'::text, 'NOK'::text, 'ERR'::text, 'DISABLED'::text, 'UNKNOWN'::text])))"
"public","bc_item_variant_map","bc_item_variant_map_item_type_check","CHECK ((item_type = ANY (ARRAY['BIKE'::text, 'QPART'::text, 'PNA'::text, 'UNKNOWN'::text])))"
"public","bc_item_variant_map","bc_item_variant_map_status_check","CHECK ((bc_status = ANY (ARRAY['OK'::text, 'NOK'::text, 'ERR'::text, 'DISABLED'::text, 'UNKNOWN'::text])))"
"public","cpq_country_mappings","cpq_country_mappings_country_code_chk","CHECK ((country_code ~ '^[A-Z]{2}$'::text))"
"public","cpq_image_management","cpq_image_management_feature_layer_order_chk","CHECK (((feature_layer_order >= 1) AND (feature_layer_order <= 20)))"
"public","cpq_setup_account_context","cpq_setup_account_context_country_code_chk","CHECK ((country_code ~ '^[A-Z]{2}$'::text))"
"public","qpart_country_allocation","qpart_country_allocation_country_code_chk","CHECK ((country_code ~ '^[A-Z]{2}$'::text))"
"public","qpart_hierarchy_nodes","qpart_hierarchy_nodes_level_check","CHECK (((level >= 1) AND (level <= 7)))"
"public","qpart_metadata_definitions","qpart_metadata_definitions_field_type_check","CHECK ((field_type = ANY (ARRAY['text'::text, 'long_text'::text, 'number'::text, 'boolean'::text, 'date'::text, 'single_select'::text, 'multi_select'::text])))"
"public","qpart_part_channel_assignment","qpart_part_channel_assignment_channel_chk","CHECK ((channel = ANY (ARRAY['Ecom'::text, 'Dealer'::text, 'Junction'::text, 'Subscription'::text])))"
"public","qpart_part_compatibility_rules","qpart_part_compatibility_rules_source_check","CHECK ((source = ANY (ARRAY['derived'::text, 'reference'::text, 'manual'::text])))"
"public","qpart_parts","qpart_parts_status_check","CHECK ((status = ANY (ARRAY['active'::text, 'inactive'::text, 'draft'::text])))"
